radar,hemisphere
sas,north
pgr,north
rkn,north
cly,north
inv,north
gbr,north
sch,north
kap,north
kod,north
sto,north
pyk,north
han,north
wal,north
ksr,north
san,south
sys,south
sye,south
tig,south
ker,south
unw,south
hal,south
